Wavenumber,Absorbance
650.4205,0.1005
652.2841,0.1025
654.1478,0.1075
656.0115,0.1074
657.8751,0.1075
659.7388,0.1067
661.6025,0.1055
663.4661,0.1067
665.3298,0.1090
667.1935,0.1090
669.0571,0.1066
670.9208,0.1072
672.7845,0.1055
674.6481,0.1036
676.5118,0.1013
678.3755,0.0989
680.2392,0.0984
682.1028,0.0978
683.9665,0.0963
685.8302,0.0953
687.6938,0.0942
689.5575,0.0943
691.4212,0.0940
693.2848,0.0935
695.1485,0.0950
697.0122,0.0949
698.8758,0.0946
700.7395,0.0964
702.6032,0.0971
704.4669,0.0947
706.3305,0.0936
708.1942,0.0937
710.0579,0.0942
711.9215,0.0951
713.7852,0.0947
715.6489,0.0939
717.5125,0.0937
719.3762,0.0934
721.2399,0.0944
723.1035,0.0959
724.9672,0.0948
726.8309,0.0942
728.6945,0.0950
730.5582,0.0939
732.4219,0.0929
734.2856,0.0925
736.1492,0.0932
738.0129,0.0936
739.8766,0.0932
741.7402,0.0933
743.6039,0.0938
745.4676,0.0941
747.3312,0.0936
749.1949,0.0932
751.0586,0.0932
752.9222,0.0928
754.7859,0.0916
756.6496,0.0913
758.5132,0.0920
760.3769,0.0922
762.2406,0.0913
764.1043,0.0908
765.9679,0.0909
767.8316,0.0911
769.6953,0.0917
771.5589,0.0915
773.4226,0.0910
775.2863,0.0908
777.1499,0.0901
779.0136,0.0897
780.8773,0.0900
782.7409,0.0900
784.6046,0.0899
786.4683,0.0896
788.3320,0.0891
790.1956,0.0890
792.0593,0.0891
793.9230,0.0887
795.7866,0.0888
797.6503,0.0897
799.5140,0.0900
801.3776,0.0894
803.2413,0.0884
805.1050,0.0877
806.9686,0.0872
808.8323,0.0874
810.6960,0.0872
812.5596,0.0869
814.4233,0.0870
816.2870,0.0864
818.1507,0.0861
820.0143,0.0866
821.8780,0.0868
823.7417,0.0867
825.6053,0.0861
827.4690,0.0861
829.3327,0.0867
831.1963,0.0865
833.0600,0.0863
834.9237,0.0866
836.7873,0.0861
838.6510,0.0856
840.5147,0.0861
842.3784,0.0863
844.2420,0.0858
846.1057,0.0854
847.9694,0.0854
849.8330,0.0857
851.6967,0.0859
853.5604,0.0858
855.4240,0.0855
857.2877,0.0855
859.1514,0.0853
861.0150,0.0853
862.8787,0.0858
864.7424,0.0858
866.6060,0.0854
868.4697,0.0852
870.3334,0.0854
872.1971,0.0855
874.0607,0.0853
875.9244,0.0853
877.7881,0.0852
879.6517,0.0850
881.5154,0.0847
883.3791,0.0847
885.2427,0.0849
887.1064,0.0848
888.9701,0.0846
890.8337,0.0845
892.6974,0.0845
894.5611,0.0842
896.4247,0.0840
898.2884,0.0839
900.1521,0.0841
902.0158,0.0842
903.8794,0.0839
905.7431,0.0836
907.6068,0.0836
909.4704,0.0835
911.3341,0.0833
913.1978,0.0834
915.0614,0.0834
916.9251,0.0831
918.7888,0.0829
920.6524,0.0827
922.5161,0.0826
924.3798,0.0825
926.2435,0.0825
928.1071,0.0826
929.9708,0.0828
931.8345,0.0828
933.6981,0.0824
935.5618,0.0822
937.4255,0.0822
939.2891,0.0821
941.1528,0.0821
943.0165,0.0821
944.8801,0.0820
946.7438,0.0820
948.6075,0.0819
950.4711,0.0820
952.3348,0.0820
954.1985,0.0820
956.0622,0.0821
957.9258,0.0816
959.7895,0.0814
961.6532,0.0816
963.5168,0.0816
965.3805,0.0817
967.2442,0.0818
969.1078,0.0818
970.9715,0.0817
972.8352,0.0817
974.6988,0.0819
976.5625,0.0821
978.4262,0.0823
980.2899,0.0821
982.1535,0.0818
984.0172,0.0816
985.8809,0.0815
987.7445,0.0815
989.6082,0.0812
991.4719,0.0811
993.3355,0.0815
995.1992,0.0816
997.0629,0.0815
998.9265,0.0814
1000.7902,0.0815
1002.6539,0.0815
1004.5175,0.0813
1006.3812,0.0809
1008.2449,0.0808
1010.1086,0.0807
1011.9722,0.0805
1013.8359,0.0804
1015.6996,0.0804
1017.5632,0.0804
1019.4269,0.0804
1021.2906,0.0802
1023.1542,0.0801
1025.0179,0.0802
1026.8816,0.0801
1028.7452,0.0800
1030.6089,0.0799
1032.4726,0.0796
1034.3362,0.0795
1036.1999,0.0794
1038.0636,0.0794
1039.9273,0.0793
1041.7909,0.0792
1043.6546,0.0792
1045.5183,0.0794
1047.3819,0.0795
1049.2456,0.0795
1051.1093,0.0796
1052.9729,0.0797
1054.8366,0.0798
1056.7003,0.0798
1058.5639,0.0799
1060.4276,0.0801
1062.2913,0.0803
1064.1550,0.0805
1066.0186,0.0807
1067.8823,0.0808
1069.7460,0.0810
1071.6096,0.0813
1073.4733,0.0811
1075.3370,0.0811
1077.2006,0.0813
1079.0643,0.0813
1080.9280,0.0813
1082.7916,0.0812
1084.6553,0.0811
1086.5190,0.0813
1088.3826,0.0813
1090.2463,0.0811
1092.1100,0.0812
1093.9737,0.0812
1095.8373,0.0810
1097.7010,0.0810
1099.5647,0.0809
1101.4283,0.0806
1103.2920,0.0804
1105.1557,0.0803
1107.0193,0.0797
1108.8830,0.0791
1110.7467,0.0786
1112.6103,0.0780
1114.4740,0.0771
1116.3377,0.0762
1118.2014,0.0755
1120.0650,0.0750
1121.9287,0.0745
1123.7924,0.0740
1125.6560,0.0735
1127.5197,0.0732
1129.3834,0.0729
1131.2470,0.0726
1133.1107,0.0722
1134.9744,0.0718
1136.8380,0.0713
1138.7017,0.0707
1140.5654,0.0701
1142.4290,0.0695
1144.2927,0.0687
1146.1564,0.0679
1148.0201,0.0670
1149.8837,0.0660
1151.7474,0.0652
1153.6111,0.0644
1155.4747,0.0635
1157.3384,0.0624
1159.2021,0.0614
1161.0657,0.0605
1162.9294,0.0597
1164.7931,0.0589
1166.6567,0.0580
1168.5204,0.0570
1170.3841,0.0561
1172.2477,0.0554
1174.1114,0.0546
1175.9751,0.0536
1177.8388,0.0526
1179.7024,0.0518
1181.5661,0.0511
1183.4298,0.0505
1185.2934,0.0498
1187.1571,0.0491
1189.0208,0.0486
1190.8844,0.0482
1192.7481,0.0478
1194.6118,0.0473
1196.4754,0.0469
1198.3391,0.0466
1200.2028,0.0463
1202.0665,0.0461
1203.9301,0.0459
1205.7938,0.0456
1207.6575,0.0454
1209.5211,0.0453
1211.3848,0.0452
1213.2485,0.0452
1215.1121,0.0452
1216.9758,0.0452
1218.8395,0.0452
1220.7031,0.0451
1222.5668,0.0451
1224.4305,0.0451
1226.2941,0.0452
1228.1578,0.0452
1230.0215,0.0451
1231.8852,0.0450
1233.7488,0.0451
1235.6125,0.0451
1237.4762,0.0451
1239.3398,0.0451
1241.2035,0.0453
1243.0672,0.0452
1244.9308,0.0451
1246.7945,0.0451
1248.6582,0.0450
1250.5218,0.0450
1252.3855,0.0449
1254.2492,0.0448
1256.1129,0.0448
1257.9765,0.0448
1259.8402,0.0448
1261.7039,0.0448
1263.5675,0.0447
1265.4312,0.0447
1267.2949,0.0447
1269.1585,0.0447
1271.0222,0.0446
1272.8859,0.0445
1274.7495,0.0443
1276.6132,0.0442
1278.4769,0.0443
1280.3405,0.0444
1282.2042,0.0444
1284.0679,0.0444
1285.9316,0.0442
1287.7952,0.0441
1289.6589,0.0441
1291.5226,0.0440
1293.3862,0.0439
1295.2499,0.0440
1297.1136,0.0440
1298.9772,0.0438
1300.8409,0.0439
1302.7046,0.0440
1304.5682,0.0440
1306.4319,0.0439
1308.2956,0.0438
1310.1592,0.0440
1312.0229,0.0440
1313.8866,0.0438
1315.7503,0.0438
1317.6139,0.0440
1319.4776,0.0439
1321.3413,0.0438
1323.2049,0.0438
1325.0686,0.0437
1326.9323,0.0436
1328.7959,0.0436
1330.6596,0.0439
1332.5233,0.0441
1334.3869,0.0442
1336.2506,0.0444
1338.1143,0.0445
1339.9780,0.0441
1341.8416,0.0438
1343.7053,0.0439
1345.5690,0.0441
1347.4326,0.0441
1349.2963,0.0440
1351.1600,0.0441
1353.0236,0.0441
1354.8873,0.0443
1356.7510,0.0443
1358.6146,0.0443
1360.4783,0.0443
1362.3420,0.0443
1364.2056,0.0440
1366.0693,0.0441
1367.9330,0.0440
1369.7967,0.0439
1371.6603,0.0440
1373.5240,0.0442
1375.3877,0.0441
1377.2513,0.0443
1379.1150,0.0441
1380.9787,0.0438
1382.8423,0.0439
1384.7060,0.0441
1386.5697,0.0440
1388.4333,0.0437
1390.2970,0.0440
1392.1607,0.0444
1394.0244,0.0444
1395.8880,0.0442
1397.7517,0.0443
1399.6154,0.0437
1401.4790,0.0440
1403.3427,0.0443
1405.2064,0.0440
1407.0700,0.0441
1408.9337,0.0443
1410.7974,0.0441
1412.6610,0.0439
1414.5247,0.0441
1416.3884,0.0447
1418.2520,0.0445
1420.1157,0.0434
1421.9794,0.0437
1423.8431,0.0437
1425.7067,0.0435
1427.5704,0.0437
1429.4341,0.0436
1431.2977,0.0434
1433.1614,0.0437
1435.0251,0.0443
1436.8887,0.0431
1438.7524,0.0421
1440.6161,0.0424
1442.4797,0.0422
1444.3434,0.0425
1446.2071,0.0425
1448.0707,0.0421
1449.9344,0.0417
1451.7981,0.0419
1453.6618,0.0423
1455.5254,0.0429
1457.3891,0.0410
1459.2528,0.0403
1461.1164,0.0406
1462.9801,0.0407
1464.8438,0.0400
1466.7074,0.0399
1468.5711,0.0403
1470.4348,0.0408
1472.2984,0.0407
1474.1621,0.0402
1476.0258,0.0397
1477.8895,0.0394
1479.7531,0.0397
1481.6168,0.0396
1483.4805,0.0395
1485.3441,0.0399
1487.2078,0.0404
1489.0715,0.0407
1490.9351,0.0397
1492.7988,0.0395
1494.6625,0.0400
1496.5261,0.0397
1498.3898,0.0394
1500.2535,0.0396
1502.1171,0.0402
1503.9808,0.0412
1505.8445,0.0412
1507.7082,0.0398
1509.5718,0.0400
1511.4355,0.0400
1513.2992,0.0400
1515.1628,0.0406
1517.0265,0.0405
1518.8902,0.0413
1520.7538,0.0414
1522.6175,0.0399
1524.4812,0.0402
1526.3448,0.0398
1528.2085,0.0396
1530.0722,0.0398
1531.9359,0.0401
1533.7995,0.0398
1535.6632,0.0404
1537.5269,0.0415
1539.3905,0.0408
1541.2542,0.0402
1543.1179,0.0399
1544.9815,0.0395
1546.8452,0.0400
1548.7089,0.0403
1550.5725,0.0398
1552.4362,0.0403
1554.2999,0.0402
1556.1635,0.0410
1558.0272,0.0416
1559.8909,0.0382
1561.7546,0.0387
1563.6182,0.0398
1565.4819,0.0397
1567.3456,0.0401
1569.2092,0.0399
1571.0729,0.0393
1572.9366,0.0400
1574.8002,0.0400
1576.6639,0.0387
1578.5276,0.0387
1580.3912,0.0392
1582.2549,0.0390
1584.1186,0.0390
1585.9822,0.0393
1587.8459,0.0397
1589.7096,0.0397
1591.5733,0.0398
1593.4369,0.0397
1595.3006,0.0395
1597.1643,0.0395
1599.0279,0.0396
1600.8916,0.0396
1602.7553,0.0396
1604.6189,0.0397
1606.4826,0.0399
1608.3463,0.0396
1610.2099,0.0395
1612.0736,0.0402
1613.9373,0.0416
1615.8010,0.0420
1617.6646,0.0412
1619.5283,0.0413
1621.3920,0.0415
1623.2556,0.0398
1625.1193,0.0382
1626.9830,0.0382
1628.8466,0.0378
1630.7103,0.0379
1632.5740,0.0386
1634.4376,0.0386
1636.3013,0.0363
1638.1650,0.0364
1640.0286,0.0371
1641.8923,0.0373
1643.7560,0.0378
1645.6197,0.0375
1647.4833,0.0365
1649.3470,0.0374
1651.2107,0.0387
1653.0743,0.0375
1654.9380,0.0363
1656.8017,0.0370
1658.6653,0.0369
1660.5290,0.0372
1662.3927,0.0367
1664.2563,0.0362
1666.1200,0.0370
1667.9837,0.0373
1669.8474,0.0367
1671.7110,0.0369
1673.5747,0.0373
1675.4384,0.0367
1677.3020,0.0367
1679.1657,0.0374
1681.0294,0.0380
1682.8930,0.0384
1684.7567,0.0360
1686.6204,0.0359
1688.4840,0.0360
1690.3477,0.0356
1692.2114,0.0358
1694.0750,0.0362
1695.9387,0.0355
1697.8024,0.0357
1699.6661,0.0354
1701.5297,0.0340
1703.3934,0.0350
1705.2571,0.0347
1707.1207,0.0345
1708.9844,0.0344
1710.8481,0.0343
1712.7117,0.0347
1714.5754,0.0349
1716.4391,0.0349
1718.3027,0.0341
1720.1664,0.0334
1722.0301,0.0332
1723.8937,0.0327
1725.7574,0.0327
1727.6211,0.0327
1729.4848,0.0327
1731.3484,0.0331
1733.2121,0.0330
1735.0758,0.0311
1736.9394,0.0319
1738.8031,0.0319
1740.6668,0.0312
1742.5304,0.0312
1744.3941,0.0315
1746.2578,0.0316
1748.1214,0.0314
1749.9851,0.0317
1751.8488,0.0311
1753.7125,0.0308
1755.5761,0.0308
1757.4398,0.0307
1759.3035,0.0311
1761.1671,0.0310
1763.0308,0.0307
1764.8945,0.0309
1766.7581,0.0311
1768.6218,0.0312
1770.4855,0.0317
1772.3491,0.0312
1774.2128,0.0306
1776.0765,0.0306
1777.9401,0.0307
1779.8038,0.0307
1781.6675,0.0306
1783.5312,0.0307
1785.3948,0.0306
1787.2585,0.0310
1789.1222,0.0313
1790.9858,0.0313
1792.8495,0.0308
1794.7132,0.0309
1796.5768,0.0310
1798.4405,0.0308
1800.3042,0.0307
1802.1678,0.0304
1804.0315,0.0303
1805.8952,0.0304
1807.7589,0.0305
1809.6225,0.0307
1811.4862,0.0306
1813.3499,0.0305
1815.2135,0.0307
1817.0772,0.0310
1818.9409,0.0307
1820.8045,0.0307
1822.6682,0.0310
1824.5319,0.0310
1826.3955,0.0308
1828.2592,0.0310
1830.1229,0.0305
1831.9865,0.0305
1833.8502,0.0307
1835.7139,0.0309
1837.5776,0.0309
1839.4412,0.0309
1841.3049,0.0314
1843.1686,0.0315
1845.0322,0.0310
1846.8959,0.0309
1848.7596,0.0303
1850.6232,0.0302
1852.4869,0.0303
1854.3506,0.0306
1856.2142,0.0308
1858.0779,0.0308
1859.9416,0.0307
1861.8052,0.0307
1863.6689,0.0308
1865.5326,0.0310
1867.3963,0.0311
1869.2599,0.0307
1871.1236,0.0306
1872.9873,0.0306
1874.8509,0.0306
1876.7146,0.0305
1878.5783,0.0303
1880.4419,0.0302
1882.3056,0.0302
1884.1693,0.0306
1886.0329,0.0312
1887.8966,0.0312
1889.7603,0.0308
1891.6240,0.0306
1893.4876,0.0302
1895.3513,0.0301
1897.2150,0.0303
1899.0786,0.0302
1900.9423,0.0303
1902.8060,0.0302
1904.6696,0.0298
1906.5333,0.0301
1908.3970,0.0304
1910.2606,0.0302
1912.1243,0.0302
1913.9880,0.0302
1915.8516,0.0302
1917.7153,0.0303
1919.5790,0.0303
1921.4427,0.0304
1923.3063,0.0303
1925.1700,0.0299
1927.0337,0.0293
1928.8973,0.0288
1930.7610,0.0290
1932.6247,0.0295
1934.4883,0.0298
1936.3520,0.0300
1938.2157,0.0303
1940.0793,0.0300
1941.9430,0.0294
1943.8067,0.0293
1945.6704,0.0299
1947.5340,0.0293
1949.3977,0.0287
1951.2614,0.0288
1953.1250,0.0293
1954.9887,0.0291
1956.8524,0.0290
1958.7160,0.0294
1960.5797,0.0295
1962.4434,0.0290
1964.3070,0.0289
1966.1707,0.0293
1968.0344,0.0297
1969.8980,0.0295
1971.7617,0.0291
1973.6254,0.0286
1975.4891,0.0286
1977.3527,0.0290
1979.2164,0.0284
1981.0801,0.0285
1982.9437,0.0289
1984.8074,0.0287
1986.6711,0.0288
1988.5347,0.0291
1990.3984,0.0294
1992.2621,0.0288
1994.1257,0.0282
1995.9894,0.0279
1997.8531,0.0279
1999.7167,0.0284
2001.5804,0.0286
2003.4441,0.0284
2005.3078,0.0285
2007.1714,0.0287
2009.0351,0.0283
2010.8988,0.0273
2012.7624,0.0275
2014.6261,0.0279
2016.4898,0.0281
2018.3534,0.0277
2020.2171,0.0277
2022.0808,0.0285
2023.9444,0.0291
2025.8081,0.0293
2027.6718,0.0289
2029.5355,0.0288
2031.3991,0.0279
2033.2628,0.0278
2035.1265,0.0286
2036.9901,0.0284
2038.8538,0.0277
2040.7175,0.0275
2042.5811,0.0273
2044.4448,0.0277
2046.3085,0.0280
2048.1721,0.0279
2050.0358,0.0285
2051.8995,0.0286
2053.7631,0.0286
2055.6268,0.0287
2057.4905,0.0289
2059.3542,0.0288
2061.2178,0.0288
2063.0815,0.0284
2064.9452,0.0288
2066.8088,0.0289
2068.6725,0.0282
2070.5362,0.0281
2072.3998,0.0288
2074.2635,0.0290
2076.1272,0.0280
2077.9908,0.0278
2079.8545,0.0289
2081.7182,0.0291
2083.5819,0.0287
2085.4455,0.0283
2087.3092,0.0282
2089.1729,0.0281
2091.0365,0.0276
2092.9002,0.0280
2094.7639,0.0280
2096.6275,0.0278
2098.4912,0.0278
2100.3549,0.0280
2102.2185,0.0284
2104.0822,0.0282
2105.9459,0.0281
2107.8095,0.0283
2109.6732,0.0282
2111.5369,0.0283
2113.4006,0.0281
2115.2642,0.0281
2117.1279,0.0280
2118.9916,0.0280
2120.8552,0.0274
2122.7189,0.0274
2124.5826,0.0275
2126.4462,0.0283
2128.3099,0.0289
2130.1736,0.0281
2132.0372,0.0277
2133.9009,0.0274
2135.7646,0.0275
2137.6282,0.0279
2139.4919,0.0273
2141.3556,0.0269
2143.2193,0.0268
2145.0829,0.0268
2146.9466,0.0273
2148.8103,0.0272
2150.6739,0.0279
2152.5376,0.0276
2154.4013,0.0260
2156.2649,0.0256
2158.1286,0.0256
2159.9923,0.0250
2161.8559,0.0263
2163.7196,0.0270
2165.5833,0.0264
2167.4470,0.0260
2169.3106,0.0258
2171.1743,0.0261
2173.0380,0.0269
2174.9016,0.0262
2176.7653,0.0261
2178.6290,0.0267
2180.4926,0.0268
2182.3563,0.0262
2184.2200,0.0262
2186.0836,0.0273
2187.9473,0.0276
2189.8110,0.0272
2191.6746,0.0274
2193.5383,0.0273
2195.4020,0.0267
2197.2657,0.0259
2199.1293,0.0266
2200.9930,0.0266
2202.8567,0.0259
2204.7203,0.0261
2206.5840,0.0260
2208.4477,0.0257
2210.3113,0.0265
2212.1750,0.0267
2214.0387,0.0259
2215.9023,0.0262
2217.7660,0.0274
2219.6297,0.0269
2221.4934,0.0271
2223.3570,0.0278
2225.2207,0.0270
2227.0844,0.0268
2228.9480,0.0264
2230.8117,0.0264
2232.6754,0.0271
2234.5390,0.0271
2236.4027,0.0264
2238.2664,0.0260
2240.1300,0.0262
2241.9937,0.0264
2243.8574,0.0268
2245.7210,0.0269
2247.5847,0.0264
2249.4484,0.0265
2251.3121,0.0267
2253.1757,0.0268
2255.0394,0.0268
2256.9031,0.0268
2258.7667,0.0267
2260.6304,0.0265
2262.4941,0.0264
2264.3577,0.0264
2266.2214,0.0266
2268.0851,0.0264
2269.9487,0.0263
2271.8124,0.0266
2273.6761,0.0269
2275.5397,0.0267
2277.4034,0.0265
2279.2671,0.0265
2281.1308,0.0266
2282.9944,0.0269
2284.8581,0.0269
2286.7218,0.0268
2288.5854,0.0266
2290.4491,0.0265
2292.3128,0.0265
2294.1764,0.0267
2296.0401,0.0269
2297.9038,0.0269
2299.7674,0.0267
2301.6311,0.0267
2303.4948,0.0270
2305.3585,0.0269
2307.2221,0.0269
2309.0858,0.0273
2310.9495,0.0274
2312.8131,0.0271
2314.6768,0.0273
2316.5405,0.0278
2318.4041,0.0277
2320.2678,0.0275
2322.1315,0.0275
2323.9951,0.0277
2325.8588,0.0281
2327.7225,0.0278
2329.5861,0.0276
2331.4498,0.0274
